mean_fit_time,mean_score_time,param_classifier__max_bin,param_classifier__max_depth,param_classifier__n_estimators,param_classifier__num_leaves,mean_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_matthews_corrcoef,rank_test_matthews_corrcoef,mean_train_matthews_corrcoef,mean_test_roc_auc,rank_test_roc_auc,mean_train_roc_auc
5307.218,0.644,16,9,1716,83,0.878,31,1.0,0.756,34,1.0,0.95,40,1.0
4322.085,0.703,31,7,1883,25,0.87,48,1.0,0.74,48,1.0,0.951,34,1.0
3923.793,0.626,23,9,1099,86,0.89,4,1.0,0.781,4,1.0,0.956,6,1.0
2858.259,0.704,28,4,1920,74,0.874,41,1.0,0.748,45,1.0,0.952,27,1.0
2335.83,0.591,5,4,1349,181,0.876,36,1.0,0.752,38,1.0,0.946,48,1.0
1965.991,0.533,29,9,572,25,0.886,10,1.0,0.772,14,1.0,0.953,15,1.0
4044.483,0.666,24,7,1476,213,0.89,4,1.0,0.78,6,1.0,0.953,17,1.0
2073.548,0.596,19,4,1350,115,0.884,17,1.0,0.768,17,1.0,0.956,5,1.0
1453.601,0.502,28,5,1255,45,0.488,50,0.495,-0.096,50,-0.04,0.488,50,0.495
3875.891,0.675,23,7,1410,183,0.89,4,1.0,0.78,6,1.0,0.952,23,1.0
3656.376,0.699,4,5,1789,201,0.874,41,1.0,0.748,41,1.0,0.948,46,1.0
2268.358,0.548,4,6,744,167,0.886,10,1.0,0.772,14,1.0,0.951,33,1.0
3988.263,0.62,7,7,1382,199,0.882,20,1.0,0.764,21,1.0,0.951,35,1.0
1264.076,0.56,6,4,628,180,0.886,10,1.0,0.772,12,1.0,0.952,28,1.0
3704.223,0.656,25,9,1256,33,0.886,10,1.0,0.772,14,1.0,0.953,18,1.0
4422.904,0.694,19,8,1566,202,0.894,1,1.0,0.788,2,1.0,0.95,36,1.0
1760.529,0.506,28,5,1845,247,0.508,49,0.512,0.048,49,0.067,0.508,49,0.512
1981.237,0.544,13,5,791,118,0.886,10,1.0,0.773,10,1.0,0.95,39,1.0
3082.143,0.616,27,7,930,98,0.876,36,1.0,0.752,38,1.0,0.953,16,1.0
1605.757,0.519,31,4,898,115,0.874,41,1.0,0.748,44,1.0,0.95,38,1.0
3786.147,0.638,25,8,1133,186,0.872,46,1.0,0.744,47,1.0,0.946,47,1.0
2247.338,0.563,24,7,824,22,0.89,4,1.0,0.78,5,1.0,0.956,3,1.0
4864.939,0.666,8,8,1655,220,0.88,24,1.0,0.76,27,1.0,0.956,4,1.0
4875.718,0.685,8,8,1667,164,0.884,17,1.0,0.768,18,1.0,0.956,7,1.0
3363.285,0.678,7,6,1291,223,0.882,20,1.0,0.764,22,1.0,0.949,43,1.0
3610.022,0.631,17,9,1060,65,0.888,8,1.0,0.776,9,1.0,0.954,13,1.0
3973.136,0.666,9,5,1972,111,0.88,24,1.0,0.76,28,1.0,0.95,37,1.0
3048.981,0.706,9,4,1816,178,0.876,36,1.0,0.752,38,1.0,0.949,45,1.0
3426.207,0.622,20,9,887,114,0.874,41,1.0,0.748,41,1.0,0.951,32,1.0
3538.699,0.606,14,9,868,247,0.876,36,1.0,0.752,36,1.0,0.953,20,1.0
1841.864,0.577,25,5,883,16,0.882,20,1.0,0.765,20,1.0,0.954,14,1.0
2964.251,0.635,14,6,1055,202,0.88,24,1.0,0.76,25,1.0,0.952,24,1.0
2404.525,0.576,27,7,630,137,0.878,31,1.0,0.756,35,1.0,0.954,11,1.0
3620.032,0.625,6,7,1234,139,0.88,24,1.0,0.76,25,1.0,0.949,42,1.0
3213.586,0.596,7,6,1239,164,0.878,31,1.0,0.756,31,1.0,0.95,41,1.0
3938.97,0.679,21,6,1935,30,0.886,10,1.0,0.772,12,1.0,0.952,26,1.0
3181.228,0.613,13,6,1205,52,0.876,36,1.0,0.752,37,1.0,0.954,10,1.0
3653.183,0.617,14,7,1372,27,0.892,3,1.0,0.784,3,1.0,0.951,30,1.0
4145.895,0.604,6,7,1604,48,0.886,10,1.0,0.772,11,1.0,0.949,44,1.0
2004.122,0.586,26,4,1306,35,0.884,17,1.0,0.768,19,1.0,0.955,9,1.0
3828.456,0.626,18,6,1895,200,0.88,24,1.0,0.761,24,1.0,0.952,28,1.0
2813.989,0.575,12,9,786,40,0.872,46,1.0,0.745,46,1.0,0.954,12,1.0
2147.316,0.526,6,7,594,242,0.874,41,1.0,0.748,41,1.0,0.951,31,1.0
3265.15,0.57,15,9,796,88,0.88,24,1.0,0.76,29,1.0,0.955,8,1.0
2688.228,0.645,23,4,1934,210,0.878,31,1.0,0.756,32,1.0,0.952,21,1.0
3045.17,0.632,28,8,823,252,0.888,8,1.0,0.776,8,1.0,0.953,19,1.0
2443.15,0.596,18,4,1784,211,0.882,20,1.0,0.764,23,1.0,0.952,25,1.0
3683.546,0.63,17,7,1520,102,0.878,31,1.0,0.756,32,1.0,0.957,2,1.0
2504.816,0.547,17,5,1343,200,0.88,24,1.0,0.76,29,1.0,0.952,22,1.0
2053.058,0.612,20,4,1425,165,0.894,1,1.0,0.789,1,1.0,0.957,1,1.0
