mean_fit_time,mean_score_time,param_classifier__max_bin,param_classifier__max_depth,param_classifier__n_estimators,param_classifier__num_leaves,mean_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_matthews_corrcoef,rank_test_matthews_corrcoef,mean_train_matthews_corrcoef,mean_test_roc_auc,rank_test_roc_auc,mean_train_roc_auc
509.301,0.152,16,9,1716,83,0.99,28,1.0,0.98,29,1.0,1.0,8,1.0
261.776,0.052,31,7,1883,25,0.37,50,0.373,-0.343,50,-0.332,0.37,50,0.373
366.429,0.114,23,9,1099,86,0.99,28,1.0,0.98,29,1.0,1.0,33,1.0
218.997,0.048,28,4,1920,74,0.604,41,0.591,0.209,41,0.182,0.603,41,0.59
296.742,0.118,5,4,1349,181,0.992,14,1.0,0.984,15,1.0,1.0,15,1.0
207.881,0.069,29,9,572,25,0.992,14,1.0,0.984,15,1.0,1.0,33,1.0
416.784,0.132,24,7,1476,213,0.994,4,1.0,0.988,5,1.0,1.0,8,1.0
308.904,0.122,19,4,1350,115,0.996,2,1.0,0.992,2,1.0,1.0,2,1.0
326.544,0.116,28,5,1255,45,0.994,4,1.0,0.988,5,1.0,1.0,8,1.0
406.32,0.129,23,7,1410,183,0.992,14,1.0,0.984,15,1.0,1.0,25,1.0
397.479,0.151,4,5,1789,201,0.992,14,1.0,0.984,14,1.0,1.0,8,1.0
201.698,0.093,4,6,744,167,0.98,39,1.0,0.96,39,1.0,1.0,39,1.0
341.66,0.136,7,7,1382,199,0.992,14,1.0,0.984,15,1.0,1.0,35,1.0
95.113,0.044,6,4,628,180,0.626,40,0.596,0.255,40,0.194,0.627,40,0.596
156.321,0.04,25,9,1256,33,0.482,48,0.474,-0.099,47,-0.126,0.482,48,0.474
451.586,0.141,19,8,1566,202,0.994,4,1.0,0.988,5,1.0,1.0,6,1.0
437.514,0.15,28,5,1845,247,0.992,14,1.0,0.984,27,1.0,1.0,25,1.0
219.267,0.083,13,5,791,118,0.99,28,1.0,0.98,29,1.0,1.0,29,1.0
308.415,0.095,27,7,930,98,0.988,33,1.0,0.976,33,1.0,1.0,25,1.0
218.361,0.081,31,4,898,115,0.996,2,1.0,0.992,2,1.0,1.0,8,1.0
367.031,0.112,25,8,1133,186,0.988,33,1.0,0.976,33,1.0,1.0,29,1.0
133.495,0.045,24,7,824,22,0.502,44,0.506,0.045,44,0.076,0.502,44,0.506
398.358,0.145,8,8,1655,220,0.992,14,1.0,0.984,15,1.0,1.0,15,1.0
402.086,0.149,8,8,1667,164,0.992,14,1.0,0.984,15,1.0,1.0,18,1.0
314.57,0.131,7,6,1291,223,0.994,4,1.0,0.988,5,1.0,1.0,3,1.0
351.782,0.116,17,9,1060,65,0.99,28,1.0,0.98,28,1.0,1.0,29,1.0
225.808,0.044,9,5,1972,111,0.5,45,0.5,0.0,45,-0.011,0.5,45,0.5
220.628,0.047,9,4,1816,178,0.49,47,0.489,-0.101,48,-0.085,0.49,47,0.489
320.854,0.103,20,9,887,114,0.994,4,1.0,0.988,5,1.0,1.0,8,1.0
265.142,0.101,14,9,868,247,0.994,4,1.0,0.988,5,1.0,1.0,18,1.0
238.152,0.091,25,5,883,16,0.998,1,1.0,0.996,1,1.0,1.0,3,1.0
296.08,0.107,14,6,1055,202,0.994,4,1.0,0.988,4,1.0,1.0,18,1.0
231.515,0.081,27,7,630,137,0.992,14,1.0,0.984,15,1.0,1.0,18,1.0
306.361,0.124,6,7,1234,139,0.986,36,1.0,0.972,36,1.0,1.0,36,1.0
301.639,0.119,7,6,1239,164,0.992,14,1.0,0.984,15,1.0,1.0,5,1.0
228.203,0.049,21,6,1935,30,0.392,49,0.376,-0.216,49,-0.249,0.392,49,0.376
322.472,0.118,13,6,1205,52,0.986,36,1.0,0.972,38,1.0,1.0,29,1.0
381.381,0.132,14,7,1372,27,0.994,4,1.0,0.988,5,1.0,1.0,1,1.0
376.06,0.145,6,7,1604,48,0.994,4,1.0,0.988,5,1.0,1.0,18,1.0
175.084,0.051,26,4,1306,35,0.53,43,0.523,0.166,43,0.139,0.53,43,0.523
465.038,0.149,18,6,1895,200,0.988,33,1.0,0.976,33,1.0,1.0,6,1.0
227.066,0.09,12,9,786,40,0.99,28,1.0,0.98,29,1.0,1.0,37,1.0
170.362,0.078,6,7,594,242,0.986,36,1.0,0.972,36,1.0,1.0,37,1.0
260.518,0.092,15,9,796,88,0.992,14,1.0,0.984,15,1.0,1.0,25,1.0
407.872,0.147,23,4,1934,210,0.994,4,1.0,0.988,5,1.0,1.0,8,1.0
289.779,0.094,28,8,823,252,0.992,14,1.0,0.984,15,1.0,1.0,18,1.0
382.328,0.14,18,4,1784,211,0.992,14,1.0,0.984,15,1.0,1.0,15,1.0
419.974,0.139,17,7,1520,102,0.992,14,1.0,0.984,15,1.0,1.0,18,1.0
166.458,0.048,17,5,1343,200,0.6,42,0.595,0.207,42,0.2,0.6,42,0.596
178.695,0.051,20,4,1425,165,0.492,46,0.498,-0.041,46,-0.014,0.492,46,0.498
