mean_fit_time,mean_score_time,param_classifier__max_bin,param_classifier__max_depth,param_classifier__n_estimators,param_classifier__num_leaves,mean_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_matthews_corrcoef,rank_test_matthews_corrcoef,mean_train_matthews_corrcoef,mean_test_roc_auc,rank_test_roc_auc,mean_train_roc_auc
728.16,0.21,16,9,1716,83,0.776,48,1.0,0.552,48,1.0,0.87,38,1.0
431.92,0.197,31,7,1883,25,0.788,28,1.0,0.576,31,1.0,0.872,29,1.0
510.726,0.165,23,9,1099,86,0.778,44,1.0,0.557,44,1.0,0.873,26,1.0
311.711,0.181,28,4,1920,74,0.778,44,1.0,0.556,45,1.0,0.879,11,1.0
216.078,0.146,5,4,1349,181,0.784,35,1.0,0.569,35,1.0,0.861,48,1.0
192.605,0.098,29,9,572,25,0.8,9,1.0,0.6,10,1.0,0.884,4,1.0
514.817,0.192,24,7,1476,213,0.796,15,1.0,0.592,17,1.0,0.874,23,1.0
238.57,0.142,19,4,1350,115,0.78,40,1.0,0.56,43,1.0,0.867,42,1.0
308.977,0.144,28,5,1255,45,0.802,5,1.0,0.604,7,1.0,0.884,3,1.0
500.044,0.19,23,7,1410,183,0.802,5,1.0,0.605,5,1.0,0.877,14,1.0
337.597,0.193,4,5,1789,201,0.774,49,1.0,0.548,50,1.0,0.86,49,1.0
180.792,0.117,4,6,744,167,0.786,34,1.0,0.572,34,1.0,0.871,36,1.0
337.296,0.183,7,7,1382,199,0.794,18,1.0,0.588,22,1.0,0.871,35,1.0
99.335,0.079,6,4,628,180,0.796,15,1.0,0.592,16,1.0,0.868,40,1.0
450.31,0.168,25,9,1256,33,0.79,26,1.0,0.581,26,1.0,0.879,10,1.0
597.778,0.21,19,8,1566,202,0.778,44,1.0,0.556,47,1.0,0.872,31,1.0
418.897,0.19,28,5,1845,247,0.798,12,1.0,0.596,12,1.0,0.883,5,1.0
228.545,0.104,13,5,791,118,0.792,23,1.0,0.584,25,1.0,0.871,34,1.0
318.207,0.144,27,7,930,98,0.798,12,1.0,0.596,14,1.0,0.887,2,1.0
173.217,0.102,31,4,898,115,0.8,9,1.0,0.6,11,1.0,0.877,16,1.0
497.319,0.169,25,8,1133,186,0.788,28,1.0,0.577,29,1.0,0.873,27,1.0
230.781,0.117,24,7,824,22,0.8,9,1.0,0.601,9,1.0,0.881,7,1.0
374.041,0.2,8,8,1655,220,0.794,18,1.0,0.589,18,1.0,0.876,19,1.0
391.581,0.212,8,8,1667,164,0.794,18,1.0,0.589,18,1.0,0.876,20,1.0
265.2,0.176,7,6,1291,223,0.78,40,1.0,0.561,40,1.0,0.866,44,1.0
475.346,0.166,17,9,1060,65,0.79,26,1.0,0.58,27,1.0,0.876,17,1.0
379.07,0.206,9,5,1972,111,0.778,44,1.0,0.556,45,1.0,0.871,37,1.0
263.754,0.175,9,4,1816,178,0.792,23,1.0,0.584,23,1.0,0.859,50,1.0
457.166,0.156,20,9,887,114,0.792,23,1.0,0.584,24,1.0,0.878,12,1.0
410.303,0.151,14,9,868,247,0.802,5,1.0,0.604,8,1.0,0.878,13,1.0
188.528,0.115,25,5,883,16,0.812,1,1.0,0.624,1,1.0,0.872,30,1.0
390.797,0.15,14,6,1055,202,0.81,2,1.0,0.62,2,1.0,0.88,9,1.0
294.551,0.113,27,7,630,137,0.794,18,1.0,0.588,21,1.0,0.888,1,1.0
283.941,0.182,6,7,1234,139,0.774,49,1.0,0.549,49,1.0,0.869,39,1.0
232.266,0.162,7,6,1239,164,0.796,15,1.0,0.593,15,1.0,0.867,43,1.0
492.702,0.209,21,6,1935,30,0.782,36,1.0,0.564,39,1.0,0.872,32,1.0
433.094,0.159,13,6,1205,52,0.808,3,1.0,0.616,3,1.0,0.877,15,1.0
435.283,0.178,14,7,1372,27,0.798,12,1.0,0.596,13,1.0,0.881,8,1.0
301.292,0.187,6,7,1604,48,0.782,36,1.0,0.564,37,1.0,0.863,46,1.0
221.889,0.135,26,4,1306,35,0.788,28,1.0,0.576,30,1.0,0.874,25,1.0
501.978,0.203,18,6,1895,200,0.782,36,1.0,0.564,38,1.0,0.863,45,1.0
313.987,0.121,12,9,786,40,0.788,28,1.0,0.577,28,1.0,0.871,33,1.0
135.104,0.104,6,7,594,242,0.782,36,1.0,0.565,36,1.0,0.862,47,1.0
427.52,0.138,15,9,796,88,0.78,40,1.0,0.56,42,1.0,0.873,28,1.0
287.919,0.182,23,4,1934,210,0.788,28,1.0,0.576,31,1.0,0.868,41,1.0
391.102,0.139,28,8,823,252,0.806,4,1.0,0.612,4,1.0,0.876,18,1.0
299.595,0.178,18,4,1784,211,0.794,18,1.0,0.588,20,1.0,0.875,21,1.0
478.502,0.181,17,7,1520,102,0.78,40,1.0,0.561,41,1.0,0.874,24,1.0
310.232,0.158,17,5,1343,200,0.788,28,1.0,0.576,33,1.0,0.881,6,1.0
216.781,0.145,20,4,1425,165,0.802,5,1.0,0.604,6,1.0,0.875,22,1.0
