mean_fit_time,mean_score_time,param_classifier__max_bin,param_classifier__max_depth,param_classifier__n_estimators,param_classifier__num_leaves,mean_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_matthews_corrcoef,rank_test_matthews_corrcoef,mean_train_matthews_corrcoef,mean_test_roc_auc,rank_test_roc_auc,mean_train_roc_auc
551.111,0.199,16,9,1716,83,0.88,3,1.0,0.76,4,1.0,0.942,11,1.0
408.324,0.22,31,7,1883,25,0.88,3,1.0,0.76,3,1.0,0.937,38,1.0
382.362,0.164,23,9,1099,86,0.874,13,1.0,0.748,15,1.0,0.94,26,1.0
259.842,0.186,28,4,1920,74,0.862,44,1.0,0.724,44,1.0,0.937,36,1.0
167.806,0.147,5,4,1349,181,0.852,50,1.0,0.705,50,1.0,0.937,37,1.0
168.098,0.087,29,9,572,25,0.87,27,1.0,0.74,32,1.0,0.936,43,1.0
394.557,0.196,24,7,1476,213,0.87,27,1.0,0.74,32,1.0,0.94,21,1.0
185.849,0.14,19,4,1350,115,0.87,27,1.0,0.74,29,1.0,0.94,22,1.0
238.696,0.15,28,5,1255,45,0.868,38,1.0,0.736,40,1.0,0.935,46,1.0
382.647,0.194,23,7,1410,183,0.878,6,1.0,0.756,9,1.0,0.936,41,1.0
268.859,0.203,4,5,1789,201,0.87,27,1.0,0.74,27,1.0,0.94,24,1.0
143.024,0.115,4,6,744,167,0.854,49,1.0,0.708,49,1.0,0.937,39,1.0
263.951,0.202,7,7,1382,199,0.878,6,1.0,0.756,9,1.0,0.94,18,1.0
83.508,0.072,6,4,628,180,0.856,48,1.0,0.712,48,1.0,0.935,45,1.0
350.631,0.173,25,9,1256,33,0.862,44,1.0,0.724,45,1.0,0.943,9,1.0
448.733,0.204,19,8,1566,202,0.872,20,1.0,0.744,24,1.0,0.942,14,1.0
324.833,0.2,28,5,1845,247,0.87,27,1.0,0.74,29,1.0,0.941,15,1.0
135.58,0.101,13,5,791,118,0.884,1,1.0,0.768,1,1.0,0.944,6,1.0
295.421,0.149,27,7,930,98,0.872,20,1.0,0.744,21,1.0,0.939,29,1.0
134.432,0.097,31,4,898,115,0.872,20,1.0,0.744,21,1.0,0.933,50,1.0
377.569,0.177,25,8,1133,186,0.874,13,1.0,0.748,13,1.0,0.94,23,1.0
198.76,0.116,24,7,824,22,0.874,13,1.0,0.748,15,1.0,0.933,48,1.0
326.188,0.238,8,8,1655,220,0.87,27,1.0,0.74,32,1.0,0.933,49,1.0
324.575,0.232,8,8,1667,164,0.87,27,1.0,0.74,32,1.0,0.933,47,1.0
222.217,0.175,7,6,1291,223,0.878,6,1.0,0.756,9,1.0,0.944,7,1.0
356.014,0.15,17,9,1060,65,0.874,13,1.0,0.748,17,1.0,0.939,27,1.0
282.444,0.209,9,5,1972,111,0.872,20,1.0,0.744,24,1.0,0.939,28,1.0
218.183,0.183,9,4,1816,178,0.872,20,1.0,0.745,20,1.0,0.935,44,1.0
340.075,0.143,20,9,887,114,0.87,27,1.0,0.74,32,1.0,0.944,5,1.0
236.308,0.155,14,9,868,247,0.866,41,1.0,0.732,41,1.0,0.942,13,1.0
155.872,0.116,25,5,883,16,0.872,20,1.0,0.744,21,1.0,0.942,12,1.0
211.104,0.146,14,6,1055,202,0.866,41,1.0,0.732,41,1.0,0.941,17,1.0
217.528,0.105,27,7,630,137,0.87,27,1.0,0.74,28,1.0,0.942,10,1.0
230.161,0.164,6,7,1234,139,0.86,47,1.0,0.72,47,1.0,0.938,32,1.0
212.938,0.168,7,6,1239,164,0.874,13,1.0,0.748,17,1.0,0.943,8,1.0
370.595,0.212,21,6,1935,30,0.87,27,1.0,0.74,32,1.0,0.938,30,1.0
224.708,0.153,13,6,1205,52,0.874,13,1.0,0.748,14,1.0,0.941,16,1.0
258.305,0.163,14,7,1372,27,0.878,6,1.0,0.756,7,1.0,0.94,19,1.0
267.286,0.189,6,7,1604,48,0.866,41,1.0,0.732,43,1.0,0.944,3,1.0
176.615,0.133,26,4,1306,35,0.87,27,1.0,0.74,29,1.0,0.94,25,1.0
370.816,0.199,18,6,1895,200,0.878,6,1.0,0.756,9,1.0,0.938,31,1.0
172.219,0.119,12,9,786,40,0.868,38,1.0,0.736,38,1.0,0.936,40,1.0
125.819,0.103,6,7,594,242,0.874,13,1.0,0.748,17,1.0,0.938,34,1.0
204.902,0.129,15,9,796,88,0.882,2,1.0,0.764,2,1.0,0.944,4,1.0
243.388,0.179,23,4,1934,210,0.88,3,1.0,0.76,4,1.0,0.936,42,1.0
273.52,0.123,28,8,823,252,0.872,20,1.0,0.744,24,1.0,0.946,1,1.0
224.872,0.161,18,4,1784,211,0.878,6,1.0,0.756,6,1.0,0.94,19,1.0
340.666,0.169,17,7,1520,102,0.878,6,1.0,0.756,7,1.0,0.937,35,1.0
227.717,0.145,17,5,1343,200,0.868,38,1.0,0.736,39,1.0,0.945,2,1.0
182.401,0.137,20,4,1425,165,0.862,44,1.0,0.724,45,1.0,0.938,33,1.0
