mean_fit_time,mean_score_time,param_classifier__max_bin,param_classifier__max_depth,param_classifier__n_estimators,param_classifier__num_leaves,mean_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_matthews_corrcoef,rank_test_matthews_corrcoef,mean_train_matthews_corrcoef,mean_test_roc_auc,rank_test_roc_auc,mean_train_roc_auc
1188.985,0.188,16,9,1716,83,0.996,7,1.0,0.992,7,1.0,1.0,1,1.0
935.852,0.206,31,7,1883,25,0.996,7,1.0,0.992,7,1.0,1.0,28,1.0
712.597,0.17,23,9,1099,86,0.992,41,1.0,0.984,41,1.0,1.0,18,1.0
476.274,0.079,28,4,1920,74,0.494,48,0.498,-0.078,48,-0.04,0.494,48,0.498
395.2,0.078,5,4,1349,181,0.458,49,0.465,-0.209,49,-0.188,0.458,49,0.465
240.308,0.075,29,9,572,25,0.624,44,0.638,0.29,45,0.335,0.624,44,0.638
819.036,0.194,24,7,1476,213,0.994,25,1.0,0.988,25,1.0,1.0,18,1.0
647.495,0.168,19,4,1350,115,0.994,25,1.0,0.988,25,1.0,1.0,28,1.0
665.952,0.17,28,5,1255,45,0.998,2,1.0,0.996,2,1.0,1.0,18,1.0
793.445,0.187,23,7,1410,183,0.998,2,1.0,0.996,2,1.0,1.0,1,1.0
817.018,0.198,4,5,1789,201,0.996,7,1.0,0.992,7,1.0,1.0,42,1.0
441.128,0.126,4,6,744,167,0.992,41,1.0,0.984,43,1.0,1.0,43,1.0
816.249,0.173,7,7,1382,199,0.996,7,1.0,0.992,7,1.0,1.0,1,1.0
363.161,0.109,6,4,628,180,0.994,25,1.0,0.988,25,1.0,1.0,1,1.0
737.329,0.174,25,9,1256,33,0.996,7,1.0,0.992,7,1.0,1.0,18,1.0
875.421,0.2,19,8,1566,202,0.996,7,1.0,0.992,7,1.0,1.0,1,1.0
873.195,0.202,28,5,1845,247,0.998,2,1.0,0.996,2,1.0,1.0,18,1.0
615.241,0.123,13,5,791,118,0.998,2,1.0,0.996,2,1.0,1.0,1,1.0
616.54,0.153,27,7,930,98,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0
475.097,0.135,31,4,898,115,0.996,7,1.0,0.992,7,1.0,1.0,18,1.0
714.684,0.168,25,8,1133,186,0.994,25,1.0,0.988,25,1.0,1.0,1,1.0
539.477,0.134,24,7,824,22,0.994,25,1.0,0.988,25,1.0,1.0,28,1.0
1156.87,0.186,8,8,1655,220,0.994,25,1.0,0.988,25,1.0,1.0,28,1.0
1161.785,0.186,8,8,1667,164,0.994,25,1.0,0.988,25,1.0,1.0,28,1.0
742.725,0.169,7,6,1291,223,0.996,7,1.0,0.992,7,1.0,1.0,18,1.0
659.297,0.168,17,9,1060,65,0.996,7,1.0,0.992,7,1.0,1.0,1,1.0
1156.615,0.183,9,5,1972,111,0.994,25,1.0,0.988,25,1.0,1.0,1,1.0
594.166,0.085,9,4,1816,178,0.594,46,0.59,0.283,46,0.257,0.594,46,0.591
591.861,0.156,20,9,887,114,0.996,7,1.0,0.992,7,1.0,1.0,40,1.0
714.767,0.139,14,9,868,247,0.994,25,1.0,0.988,25,1.0,1.0,36,1.0
476.677,0.143,25,5,883,16,0.994,25,1.0,0.988,25,1.0,1.0,1,1.0
745.009,0.142,14,6,1055,202,0.994,25,1.0,0.988,25,1.0,1.0,1,1.0
451.979,0.129,27,7,630,137,0.996,7,1.0,0.992,7,1.0,1.0,1,1.0
632.014,0.153,6,7,1234,139,0.994,25,1.0,0.988,25,1.0,1.0,28,1.0
674.465,0.151,7,6,1239,164,0.996,7,1.0,0.992,7,1.0,1.0,36,1.0
867.64,0.198,21,6,1935,30,0.996,7,1.0,0.992,7,1.0,1.0,40,1.0
808.86,0.148,13,6,1205,52,0.998,2,1.0,0.996,2,1.0,1.0,36,1.0
893.9,0.155,14,7,1372,27,0.996,7,1.0,0.992,7,1.0,1.0,1,1.0
750.785,0.171,6,7,1604,48,0.994,25,1.0,0.988,25,1.0,1.0,1,1.0
344.074,0.093,26,4,1306,35,0.546,47,0.549,0.113,47,0.123,0.546,47,0.549
847.601,0.2,18,6,1895,200,0.994,25,1.0,0.988,25,1.0,1.0,18,1.0
624.443,0.121,12,9,786,40,0.996,7,1.0,0.992,7,1.0,1.0,18,1.0
364.236,0.111,6,7,594,242,0.992,41,1.0,0.984,41,1.0,1.0,36,1.0
639.145,0.125,15,9,796,88,0.994,25,1.0,0.988,25,1.0,1.0,1,1.0
759.594,0.181,23,4,1934,210,0.996,7,1.0,0.992,7,1.0,1.0,28,1.0
518.478,0.133,28,8,823,252,0.994,25,1.0,0.988,25,1.0,1.0,28,1.0
400.685,0.081,18,4,1784,211,0.612,45,0.604,0.331,44,0.319,0.612,45,0.604
738.813,0.164,17,7,1520,102,0.996,7,1.0,0.992,7,1.0,1.0,18,1.0
319.562,0.075,17,5,1343,200,0.258,50,0.296,-0.492,50,-0.418,0.258,50,0.296
590.197,0.159,20,4,1425,165,0.996,7,1.0,0.992,7,1.0,1.0,1,1.0
