mean_fit_time,mean_score_time,param_classifier__max_bin,param_classifier__max_depth,param_classifier__n_estimators,param_classifier__num_leaves,mean_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_matthews_corrcoef,rank_test_matthews_corrcoef,mean_train_matthews_corrcoef,mean_test_roc_auc,rank_test_roc_auc,mean_train_roc_auc
13887.123,0.817,16,9,1716,83,0.998,1,1.0,0.996,1,1.0,1.0,7,1.0
10048.836,1.985,31,7,1883,25,0.996,28,1.0,0.992,29,1.0,1.0,7,1.0
8145.796,0.901,23,9,1099,86,0.996,28,1.0,0.992,29,1.0,1.0,44,1.0
10277.674,1.015,28,4,1920,74,0.998,1,1.0,0.996,1,1.0,1.0,7,1.0
12419.924,1.889,5,4,1349,181,0.998,1,1.0,0.996,1,1.0,1.0,7,1.0
6552.867,0.839,29,9,572,25,0.994,45,1.0,0.988,45,1.0,1.0,29,1.0
10436.175,1.003,24,7,1476,213,0.998,1,1.0,0.996,1,1.0,1.0,29,1.0
8264.946,1.027,19,4,1350,115,0.998,1,1.0,0.996,1,1.0,1.0,7,1.0
9052.234,0.993,28,5,1255,45,0.996,28,1.0,0.992,29,1.0,1.0,18,1.0
10241.299,0.953,23,7,1410,183,0.996,28,1.0,0.992,29,1.0,1.0,7,1.0
10690.18,0.822,4,5,1789,201,0.998,1,1.0,0.996,1,1.0,1.0,29,1.0
7514.738,0.96,4,6,744,167,0.998,1,1.0,0.996,1,1.0,1.0,44,1.0
11984.282,0.866,7,7,1382,199,0.998,1,1.0,0.996,1,1.0,1.0,1,1.0
5078.78,0.742,6,4,628,180,0.998,1,1.0,0.996,1,1.0,1.0,1,1.0
9921.004,1.0,25,9,1256,33,0.998,1,1.0,0.996,1,1.0,1.0,7,1.0
11134.093,1.107,19,8,1566,202,0.996,28,1.0,0.992,29,1.0,1.0,29,1.0
10682.626,1.025,28,5,1845,247,0.998,1,1.0,0.996,1,1.0,1.0,7,1.0
6666.064,0.762,13,5,791,118,0.998,1,1.0,0.996,1,1.0,1.0,1,1.0
8268.922,0.99,27,7,930,98,0.996,28,1.0,0.992,29,1.0,1.0,18,1.0
6608.78,1.137,31,4,898,115,0.998,1,1.0,0.996,1,1.0,1.0,29,1.0
7519.441,2.107,25,8,1133,186,0.998,1,1.0,0.996,1,1.0,1.0,18,1.0
4518.784,0.793,24,7,824,22,0.446,49,0.441,-0.161,49,-0.18,0.446,49,0.441
13281.728,0.812,8,8,1655,220,0.996,28,1.0,0.992,29,1.0,1.0,29,1.0
16206.733,0.841,8,8,1667,164,0.996,28,1.0,0.992,29,1.0,1.0,29,1.0
10738.122,0.921,7,6,1291,223,0.998,1,1.0,0.996,1,1.0,1.0,7,1.0
7740.159,1.039,17,9,1060,65,0.996,28,1.0,0.992,29,1.0,1.0,29,1.0
7183.987,0.825,9,5,1972,111,0.378,50,0.354,-0.264,50,-0.313,0.378,50,0.354
11972.839,0.943,9,4,1816,178,0.994,45,1.0,0.988,45,1.0,1.0,29,1.0
6446.047,1.314,20,9,887,114,0.996,28,1.0,0.992,29,1.0,1.0,18,1.0
10160.726,1.185,14,9,868,247,0.996,28,1.0,0.992,29,1.0,1.0,29,1.0
9163.063,2.206,25,5,883,16,0.998,1,1.0,0.996,1,1.0,1.0,18,1.0
8431.66,0.919,14,6,1055,202,0.996,28,1.0,0.992,29,1.0,1.0,29,1.0
6310.539,1.131,27,7,630,137,0.996,28,1.0,0.992,29,1.0,1.0,29,1.0
10241.769,0.9,6,7,1234,139,0.998,1,1.0,0.996,1,1.0,1.0,18,1.0
9776.496,0.903,7,6,1239,164,0.998,1,1.0,0.996,1,1.0,1.0,1,1.0
9506.938,1.33,21,6,1935,30,0.998,1,1.0,0.996,1,1.0,1.0,7,1.0
11099.364,0.942,13,6,1205,52,0.998,1,1.0,0.996,1,1.0,1.0,1,1.0
10468.919,0.909,14,7,1372,27,0.996,28,1.0,0.992,29,1.0,1.0,18,1.0
11459.996,0.875,6,7,1604,48,0.998,1,1.0,0.996,1,1.0,1.0,18,1.0
4219.273,0.986,26,4,1306,35,0.5,47,0.501,0.0,47,0.036,0.5,47,0.501
9567.633,1.223,18,6,1895,200,0.998,1,1.0,0.996,1,1.0,1.0,1,1.0
7628.803,0.898,12,9,786,40,0.996,28,1.0,0.992,29,1.0,1.0,29,1.0
6734.431,0.887,6,7,594,242,0.998,1,1.0,0.996,1,1.0,1.0,29,1.0
8240.765,0.846,15,9,796,88,0.998,1,1.0,0.996,1,1.0,1.0,46,1.0
9434.798,1.101,23,4,1934,210,0.996,28,1.0,0.992,29,1.0,1.0,29,1.0
6309.964,0.963,28,8,823,252,0.998,1,1.0,0.996,1,1.0,1.0,18,1.0
9199.939,1.303,18,4,1784,211,0.996,28,1.0,0.992,28,1.0,1.0,18,1.0
8517.95,1.1,17,7,1520,102,0.998,1,1.0,0.996,1,1.0,1.0,7,1.0
7705.093,0.965,17,5,1343,200,0.998,1,1.0,0.996,1,1.0,1.0,18,1.0
4715.328,0.966,20,4,1425,165,0.48,48,0.487,-0.143,48,-0.112,0.48,48,0.487
