mean_fit_time,mean_score_time,param_classifier__max_bin,param_classifier__max_depth,param_classifier__n_estimators,param_classifier__num_leaves,mean_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_matthews_corrcoef,rank_test_matthews_corrcoef,mean_train_matthews_corrcoef,mean_test_roc_auc,rank_test_roc_auc,mean_train_roc_auc
1146.268,0.186,16,9,1716,83,0.974,7,1.0,0.948,11,1.0,0.996,12,1.0
892.195,0.192,31,7,1883,25,0.972,13,1.0,0.944,14,1.0,0.996,19,1.0
738.526,0.15,23,9,1099,86,0.972,13,1.0,0.944,16,1.0,0.995,40,1.0
645.515,0.172,28,4,1920,74,0.976,1,1.0,0.952,4,1.0,0.996,15,1.0
435.844,0.14,5,4,1349,181,0.97,23,1.0,0.94,27,1.0,0.996,14,1.0
379.538,0.084,29,9,572,25,0.962,47,1.0,0.924,47,1.0,0.993,48,1.0
847.625,0.175,24,7,1476,213,0.968,34,1.0,0.936,38,1.0,0.996,11,1.0
493.189,0.138,19,4,1350,115,0.97,23,1.0,0.94,27,1.0,0.996,17,1.0
550.174,0.147,28,5,1255,45,0.97,23,1.0,0.94,27,1.0,0.996,19,1.0
826.76,0.172,23,7,1410,183,0.968,34,1.0,0.936,36,1.0,0.996,22,1.0
649.305,0.182,4,5,1789,201,0.972,13,1.0,0.944,13,1.0,0.996,5,1.0
342.735,0.116,4,6,744,167,0.962,47,1.0,0.924,47,1.0,0.993,45,1.0
595.418,0.166,7,7,1382,199,0.974,7,1.0,0.948,9,1.0,0.996,7,1.0
219.987,0.078,6,4,628,180,0.97,23,1.0,0.94,27,1.0,0.993,47,1.0
735.694,0.155,25,9,1256,33,0.976,1,1.0,0.952,4,1.0,0.995,41,1.0
948.711,0.177,19,8,1566,202,0.97,23,1.0,0.94,23,1.0,0.996,9,1.0
775.191,0.188,28,5,1845,247,0.976,1,1.0,0.952,1,1.0,0.996,25,1.0
468.194,0.105,13,5,791,118,0.972,13,1.0,0.944,16,1.0,0.996,8,1.0
594.086,0.129,27,7,930,98,0.97,23,1.0,0.94,23,1.0,0.996,10,1.0
353.77,0.1,31,4,898,115,0.966,41,1.0,0.932,41,1.0,0.995,33,1.0
792.059,0.151,25,8,1133,186,0.972,13,1.0,0.944,16,1.0,0.996,18,1.0
463.832,0.109,24,7,824,22,0.966,41,1.0,0.932,42,1.0,0.996,6,1.0
728.018,0.185,8,8,1655,220,0.972,13,1.0,0.944,21,1.0,0.995,36,1.0
691.637,0.191,8,8,1667,164,0.966,41,1.0,0.932,42,1.0,0.996,15,1.0
530.656,0.159,7,6,1291,223,0.974,7,1.0,0.948,7,1.0,0.997,1,1.0
257.603,0.061,17,9,1060,65,0.48,49,0.479,-0.102,49,-0.101,0.48,49,0.479
693.227,0.194,9,5,1972,111,0.97,23,1.0,0.94,27,1.0,0.996,30,1.0
572.147,0.169,9,4,1816,178,0.972,13,1.0,0.944,21,1.0,0.996,23,1.0
669.106,0.136,20,9,887,114,0.968,34,1.0,0.936,34,1.0,0.995,39,1.0
752.369,0.137,14,9,868,247,0.966,41,1.0,0.932,44,1.0,0.995,37,1.0
391.581,0.114,25,5,883,16,0.976,1,1.0,0.952,1,1.0,0.997,4,1.0
674.455,0.147,14,6,1055,202,0.968,34,1.0,0.936,34,1.0,0.996,13,1.0
460.734,0.107,27,7,630,137,0.974,7,1.0,0.948,9,1.0,0.995,32,1.0
511.776,0.16,6,7,1234,139,0.972,13,1.0,0.944,14,1.0,0.995,42,1.0
508.79,0.157,7,6,1239,164,0.974,7,1.0,0.948,7,1.0,0.997,2,1.0
861.291,0.186,21,6,1935,30,0.976,1,1.0,0.952,1,1.0,0.996,29,1.0
720.679,0.145,13,6,1205,52,0.976,1,1.0,0.952,4,1.0,0.996,28,1.0
841.216,0.161,14,7,1372,27,0.968,34,1.0,0.936,36,1.0,0.997,3,1.0
701.373,0.195,6,7,1604,48,0.97,23,1.0,0.94,23,1.0,0.996,21,1.0
466.849,0.135,26,4,1306,35,0.97,23,1.0,0.94,23,1.0,0.996,27,1.0
857.269,0.177,18,6,1895,200,0.968,34,1.0,0.936,39,1.0,0.995,34,1.0
234.369,0.063,12,9,786,40,0.444,50,0.459,-0.175,50,-0.127,0.444,50,0.459
319.589,0.098,6,7,594,242,0.964,46,1.0,0.928,46,1.0,0.993,46,1.0
677.924,0.133,15,9,796,88,0.972,13,1.0,0.944,16,1.0,0.994,44,1.0
652.291,0.176,23,4,1934,210,0.972,13,1.0,0.944,16,1.0,0.996,24,1.0
624.815,0.124,28,8,823,252,0.974,7,1.0,0.948,11,1.0,0.995,35,1.0
596.442,0.16,18,4,1784,211,0.968,34,1.0,0.936,39,1.0,0.994,43,1.0
814.341,0.175,17,7,1520,102,0.966,41,1.0,0.932,44,1.0,0.996,26,1.0
585.926,0.146,17,5,1343,200,0.97,23,1.0,0.94,27,1.0,0.995,37,1.0
502.784,0.142,20,4,1425,165,0.97,23,1.0,0.94,27,1.0,0.996,31,1.0
