mean_fit_time,mean_score_time,param_classifier__max_bin,param_classifier__max_depth,param_classifier__n_estimators,param_classifier__num_leaves,mean_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_matthews_corrcoef,rank_test_matthews_corrcoef,mean_train_matthews_corrcoef,mean_test_roc_auc,rank_test_roc_auc,mean_train_roc_auc
101.623,0.249,16,9,1716,83,0.904,3,1.0,0.809,3,1.0,0.955,4,1.0
57.266,0.179,31,7,1883,25,0.894,19,1.0,0.788,26,1.0,0.955,7,1.0
58.835,0.166,23,9,1099,86,0.906,2,1.0,0.812,2,1.0,0.953,9,1.0
49.024,0.138,28,4,1920,74,0.884,35,1.0,0.768,35,1.0,0.944,39,1.0
36.399,0.104,5,4,1349,181,0.866,46,0.999,0.733,46,0.998,0.926,45,1.0
10.877,0.047,29,9,572,25,0.894,19,1.0,0.788,25,1.0,0.953,11,1.0
74.077,0.19,24,7,1476,213,0.904,3,1.0,0.809,3,1.0,0.955,3,1.0
32.731,0.098,19,4,1350,115,0.896,15,1.0,0.792,17,1.0,0.95,20,1.0
37.585,0.113,28,5,1255,45,0.902,7,1.0,0.804,8,1.0,0.951,17,1.0
70.227,0.193,23,7,1410,183,0.9,9,1.0,0.8,12,1.0,0.952,16,1.0
65.849,0.159,4,5,1789,201,0.86,47,1.0,0.72,47,1.0,0.92,50,1.0
25.512,0.079,4,6,744,167,0.852,50,1.0,0.704,50,1.0,0.923,49,1.0
74.189,0.199,7,7,1382,199,0.894,19,1.0,0.789,19,1.0,0.948,28,1.0
12.169,0.036,6,4,628,180,0.856,48,0.99,0.712,49,0.979,0.924,47,0.999
39.344,0.14,25,9,1256,33,0.902,7,1.0,0.804,7,1.0,0.948,30,1.0
89.87,0.226,19,8,1566,202,0.904,3,1.0,0.808,5,1.0,0.957,1,1.0
60.151,0.158,28,5,1845,247,0.896,15,1.0,0.792,17,1.0,0.95,21,1.0
21.132,0.063,13,5,791,118,0.89,28,1.0,0.78,28,1.0,0.952,13,1.0
40.904,0.132,27,7,930,98,0.886,32,1.0,0.772,32,1.0,0.949,24,1.0
18.637,0.06,31,4,898,115,0.878,39,1.0,0.756,43,1.0,0.946,35,1.0
61.485,0.176,25,8,1133,186,0.898,13,1.0,0.797,13,1.0,0.954,8,1.0
18.044,0.066,24,7,824,22,0.886,32,1.0,0.772,34,1.0,0.944,37,1.0
101.732,0.259,8,8,1655,220,0.9,9,1.0,0.801,10,1.0,0.948,27,1.0
103.656,0.259,8,8,1667,164,0.89,28,1.0,0.78,28,1.0,0.942,40,1.0
51.941,0.142,7,6,1291,223,0.878,39,1.0,0.756,40,1.0,0.947,31,1.0
46.849,0.148,17,9,1060,65,0.894,19,1.0,0.789,19,1.0,0.955,5,1.0
69.026,0.166,9,5,1972,111,0.89,28,1.0,0.78,28,1.0,0.947,33,1.0
49.965,0.137,9,4,1816,178,0.898,13,1.0,0.796,14,1.0,0.944,38,1.0
46.432,0.144,20,9,887,114,0.9,9,1.0,0.801,9,1.0,0.951,18,1.0
47.485,0.154,14,9,868,247,0.894,19,1.0,0.788,23,1.0,0.949,22,1.0
17.742,0.059,25,5,883,16,0.884,35,1.0,0.768,35,1.0,0.94,43,1.0
38.224,0.115,14,6,1055,202,0.9,9,1.0,0.8,11,1.0,0.948,26,1.0
23.422,0.079,27,7,630,137,0.886,32,1.0,0.772,32,1.0,0.952,12,1.0
64.152,0.172,6,7,1234,139,0.872,44,1.0,0.744,44,1.0,0.926,46,1.0
49.606,0.138,7,6,1239,164,0.88,38,1.0,0.76,38,1.0,0.948,29,1.0
65.796,0.185,21,6,1935,30,0.896,15,1.0,0.792,15,1.0,0.956,2,1.0
46.899,0.124,13,6,1205,52,0.882,37,1.0,0.765,37,1.0,0.949,25,1.0
40.294,0.129,14,7,1372,27,0.868,45,1.0,0.736,45,1.0,0.942,41,1.0
62.621,0.178,6,7,1604,48,0.878,39,1.0,0.756,40,1.0,0.93,44,1.0
30.395,0.093,26,4,1306,35,0.894,19,1.0,0.789,19,1.0,0.942,42,1.0
77.052,0.189,18,6,1895,200,0.894,19,1.0,0.788,23,1.0,0.955,6,1.0
22.297,0.081,12,9,786,40,0.878,39,1.0,0.756,39,1.0,0.95,19,1.0
22.642,0.079,6,7,594,242,0.856,48,1.0,0.712,48,1.0,0.923,48,1.0
37.469,0.125,15,9,796,88,0.892,27,1.0,0.784,27,1.0,0.946,34,1.0
49.617,0.137,23,4,1934,210,0.89,28,1.0,0.78,31,1.0,0.947,32,1.0
39.799,0.126,28,8,823,252,0.904,3,1.0,0.808,6,1.0,0.952,15,1.0
45.042,0.132,18,4,1784,211,0.896,15,1.0,0.792,16,1.0,0.949,23,1.0
76.321,0.196,17,7,1520,102,0.908,1,1.0,0.816,1,1.0,0.953,10,1.0
40.845,0.118,17,5,1343,200,0.894,19,1.0,0.789,19,1.0,0.952,14,1.0
34.593,0.101,20,4,1425,165,0.878,39,1.0,0.756,42,1.0,0.945,36,1.0
