mean_fit_time,mean_score_time,param_classifier__max_bin,param_classifier__max_depth,param_classifier__n_estimators,param_classifier__num_leaves,mean_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_matthews_corrcoef,rank_test_matthews_corrcoef,mean_train_matthews_corrcoef,mean_test_roc_auc,rank_test_roc_auc,mean_train_roc_auc
137.033,0.208,16,9,1716,83,0.802,1,1.0,0.604,1,1.0,0.867,9,1.0
147.495,0.19,31,7,1883,25,0.782,27,1.0,0.565,27,1.0,0.854,39,1.0
131.123,0.146,23,9,1099,86,0.782,27,1.0,0.564,30,1.0,0.862,20,1.0
91.966,0.141,28,4,1920,74,0.774,40,1.0,0.548,43,1.0,0.862,21,1.0
62.298,0.11,5,4,1349,181,0.778,33,1.0,0.556,34,1.0,0.851,41,1.0
51.473,0.058,29,9,572,25,0.794,8,1.0,0.588,10,1.0,0.864,18,1.0
145.432,0.171,24,7,1476,213,0.776,36,1.0,0.553,36,1.0,0.859,25,1.0
65.62,0.109,19,4,1350,115,0.794,8,1.0,0.589,8,1.0,0.866,14,1.0
85.676,0.117,28,5,1255,45,0.768,46,1.0,0.537,46,1.0,0.849,44,1.0
122.088,0.162,23,7,1410,183,0.782,27,1.0,0.565,28,1.0,0.868,8,1.0
86.965,0.152,4,5,1789,201,0.754,50,1.0,0.508,50,1.0,0.84,49,1.0
49.394,0.091,4,6,744,167,0.766,47,1.0,0.533,47,1.0,0.847,45,1.0
99.755,0.174,7,7,1382,199,0.786,15,1.0,0.572,20,1.0,0.868,7,1.0
23.045,0.043,6,4,628,180,0.756,49,1.0,0.512,49,1.0,0.831,50,1.0
119.864,0.149,25,9,1256,33,0.8,2,1.0,0.601,2,1.0,0.866,16,1.0
164.423,0.193,19,8,1566,202,0.774,40,1.0,0.548,44,1.0,0.854,38,1.0
120.151,0.16,28,5,1845,247,0.786,15,1.0,0.572,18,1.0,0.86,23,1.0
42.274,0.073,13,5,791,118,0.774,40,1.0,0.551,40,1.0,0.857,31,1.0
102.039,0.116,27,7,930,98,0.79,12,1.0,0.581,12,1.0,0.867,10,1.0
44.322,0.069,31,4,898,115,0.786,15,1.0,0.574,15,1.0,0.857,29,1.0
111.614,0.152,25,8,1133,186,0.792,11,1.0,0.584,11,1.0,0.872,1,1.0
59.327,0.087,24,7,824,22,0.782,27,1.0,0.565,28,1.0,0.86,24,1.0
126.447,0.198,8,8,1655,220,0.796,5,1.0,0.592,6,1.0,0.869,6,1.0
127.26,0.208,8,8,1667,164,0.796,5,1.0,0.592,6,1.0,0.869,3,1.0
69.828,0.126,7,6,1291,223,0.784,23,1.0,0.569,23,1.0,0.857,32,1.0
98.404,0.138,17,9,1060,65,0.79,12,1.0,0.581,12,1.0,0.858,28,1.0
104.558,0.173,9,5,1972,111,0.79,12,1.0,0.58,14,1.0,0.866,13,1.0
79.047,0.147,9,4,1816,178,0.8,2,1.0,0.6,3,1.0,0.858,26,1.0
111.165,0.123,20,9,887,114,0.794,8,1.0,0.589,9,1.0,0.866,11,1.0
75.03,0.128,14,9,868,247,0.782,27,1.0,0.564,32,1.0,0.866,12,1.0
52.001,0.077,25,5,883,16,0.758,48,1.0,0.516,48,1.0,0.85,42,1.0
66.662,0.115,14,6,1055,202,0.778,33,1.0,0.556,35,1.0,0.857,30,1.0
71.608,0.081,27,7,630,137,0.796,5,1.0,0.593,5,1.0,0.869,4,1.0
76.562,0.138,6,7,1234,139,0.772,45,1.0,0.546,45,1.0,0.845,47,1.0
77.635,0.13,7,6,1239,164,0.776,36,1.0,0.553,36,1.0,0.857,34,1.0
102.619,0.167,21,6,1935,30,0.782,27,1.0,0.564,31,1.0,0.865,17,1.0
76.126,0.134,13,6,1205,52,0.786,15,1.0,0.573,17,1.0,0.854,37,1.0
85.485,0.142,14,7,1372,27,0.786,15,1.0,0.572,22,1.0,0.866,15,1.0
104.579,0.173,6,7,1604,48,0.774,40,1.0,0.549,42,1.0,0.85,43,1.0
63.92,0.103,26,4,1306,35,0.784,23,1.0,0.569,24,1.0,0.856,36,1.0
127.551,0.179,18,6,1895,200,0.784,23,1.0,0.568,25,1.0,0.869,5,1.0
55.875,0.096,12,9,786,40,0.776,36,1.0,0.552,38,1.0,0.858,27,1.0
43.784,0.079,6,7,594,242,0.776,36,1.0,0.552,38,1.0,0.843,48,1.0
67.309,0.111,15,9,796,88,0.786,15,1.0,0.573,16,1.0,0.87,2,1.0
88.881,0.15,23,4,1934,210,0.778,33,1.0,0.557,33,1.0,0.857,33,1.0
81.806,0.115,28,8,823,252,0.798,4,1.0,0.597,4,1.0,0.854,40,1.0
81.287,0.134,18,4,1784,211,0.786,15,1.0,0.572,20,1.0,0.863,19,1.0
111.963,0.161,17,7,1520,102,0.786,15,1.0,0.572,18,1.0,0.856,35,1.0
76.346,0.125,17,5,1343,200,0.784,23,1.0,0.568,26,1.0,0.861,22,1.0
66.188,0.116,20,4,1425,165,0.774,40,1.0,0.55,41,1.0,0.845,46,1.0
