mean_fit_time,mean_score_time,param_classifier__max_bin,param_classifier__max_depth,param_classifier__n_estimators,param_classifier__num_leaves,mean_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_matthews_corrcoef,rank_test_matthews_corrcoef,mean_train_matthews_corrcoef,mean_test_roc_auc,rank_test_roc_auc,mean_train_roc_auc
11408.431,0.826,16,9,1716,83,0.812,25,1.0,0.625,26,1.0,0.891,22,1.0
8751.493,0.874,31,7,1883,25,0.804,37,1.0,0.608,38,1.0,0.893,17,1.0
8248.584,0.83,23,9,1099,86,0.8,47,1.0,0.6,47,1.0,0.884,43,1.0
5773.395,0.852,28,4,1920,74,0.808,31,1.0,0.616,33,1.0,0.892,20,1.0
5578.729,0.784,5,4,1349,181,0.814,24,1.0,0.629,24,1.0,0.883,44,1.0
4169.201,0.762,29,9,572,25,0.818,14,1.0,0.636,14,1.0,0.893,16,1.0
8303.759,0.844,24,7,1476,213,0.816,15,1.0,0.632,22,1.0,0.893,18,1.0
4394.556,0.811,19,4,1350,115,0.826,5,1.0,0.654,5,1.0,0.898,2,1.0
5483.818,0.848,28,5,1255,45,0.816,15,1.0,0.633,16,1.0,0.896,12,1.0
8050.106,0.845,23,7,1410,183,0.816,15,1.0,0.633,19,1.0,0.89,30,1.0
8472.162,0.964,4,5,1789,201,0.812,25,1.0,0.624,27,1.0,0.886,41,1.0
5472.741,0.787,4,6,744,167,0.816,15,1.0,0.634,15,1.0,0.886,40,1.0
9132.983,0.945,7,7,1382,199,0.812,25,1.0,0.624,27,1.0,0.892,19,1.0
2999.878,0.757,6,4,628,180,0.804,37,1.0,0.608,41,1.0,0.88,48,1.0
7700.745,0.858,25,9,1256,33,0.816,15,1.0,0.633,21,1.0,0.896,9,1.0
9332.944,0.904,19,8,1566,202,0.812,25,1.0,0.624,27,1.0,0.891,23,1.0
7174.148,0.898,28,5,1845,247,0.816,15,1.0,0.633,16,1.0,0.895,13,1.0
4515.009,0.767,13,5,791,118,0.808,31,1.0,0.616,31,1.0,0.887,37,1.0
6581.708,0.821,27,7,930,98,0.822,9,1.0,0.645,11,1.0,0.892,21,1.0
3403.075,0.744,31,4,898,115,0.816,15,1.0,0.633,19,1.0,0.89,28,1.0
8052.466,0.835,25,8,1133,186,0.824,7,1.0,0.65,7,1.0,0.897,6,1.0
4824.222,0.786,24,7,824,22,0.798,49,1.0,0.596,49,1.0,0.891,26,1.0
10785.92,0.925,8,8,1655,220,0.812,25,1.0,0.625,25,1.0,0.898,3,1.0
10842.569,0.893,8,8,1667,164,0.816,15,1.0,0.633,16,1.0,0.898,4,1.0
7716.853,1.005,7,6,1291,223,0.804,37,1.0,0.608,42,1.0,0.889,34,1.0
7785.944,0.915,17,9,1060,65,0.802,43,1.0,0.604,45,1.0,0.897,7,1.0
8777.982,0.927,9,5,1972,111,0.824,7,1.0,0.649,8,1.0,0.891,25,1.0
6755.094,0.951,9,4,1816,178,0.796,50,1.0,0.592,50,1.0,0.88,49,1.0
7426.953,0.878,20,9,887,114,0.816,15,1.0,0.632,23,1.0,0.896,8,1.0
7981.179,0.865,14,9,868,247,0.802,43,1.0,0.604,44,1.0,0.894,14,1.0
3871.267,0.888,25,5,883,16,0.8,47,1.0,0.6,47,1.0,0.889,33,1.0
6535.233,0.875,14,6,1055,202,0.828,3,1.0,0.657,3,1.0,0.896,11,1.0
5130.188,0.869,27,7,630,137,0.822,9,1.0,0.645,9,1.0,0.896,10,1.0
8239.737,0.862,6,7,1234,139,0.804,37,1.0,0.608,38,1.0,0.89,31,1.0
7281.736,0.868,7,6,1239,164,0.806,34,1.0,0.612,35,1.0,0.889,35,1.0
7994.056,0.918,21,6,1935,30,0.802,43,1.0,0.604,46,1.0,0.887,36,1.0
7142.643,0.875,13,6,1205,52,0.83,1,1.0,0.661,2,1.0,0.89,29,1.0
7702.497,0.863,14,7,1372,27,0.806,34,1.0,0.613,34,1.0,0.882,45,1.0
9297.657,0.881,6,7,1604,48,0.822,9,1.0,0.645,9,1.0,0.898,5,1.0
4162.937,0.838,26,4,1306,35,0.802,43,1.0,0.605,43,1.0,0.881,47,1.0
7912.985,0.912,18,6,1895,200,0.806,34,1.0,0.612,36,1.0,0.878,50,1.0
6361.853,0.826,12,9,786,40,0.81,30,1.0,0.621,30,1.0,0.886,39,1.0
5168.615,0.805,6,7,594,242,0.83,1,1.0,0.662,1,1.0,0.889,32,1.0
7183.098,0.817,15,9,796,88,0.822,9,1.0,0.644,12,1.0,0.893,15,1.0
5480.517,0.902,23,4,1934,210,0.808,31,1.0,0.616,31,1.0,0.886,38,1.0
6567.62,0.826,28,8,823,252,0.828,3,1.0,0.657,4,1.0,0.901,1,1.0
5068.109,0.779,18,4,1784,211,0.826,5,1.0,0.654,6,1.0,0.886,42,1.0
7641.612,0.754,17,7,1520,102,0.82,13,1.0,0.642,13,1.0,0.891,27,1.0
5283.484,0.855,17,5,1343,200,0.804,37,1.0,0.608,37,1.0,0.891,24,1.0
4275.201,0.846,20,4,1425,165,0.804,37,1.0,0.608,38,1.0,0.882,46,1.0
