mean_fit_time,mean_score_time,param_classifier__max_bin,param_classifier__max_depth,param_classifier__n_estimators,param_classifier__num_leaves,mean_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_matthews_corrcoef,rank_test_matthews_corrcoef,mean_train_matthews_corrcoef,mean_test_roc_auc,rank_test_roc_auc,mean_train_roc_auc
182.194,0.208,16,9,1716,83,0.864,30,1.0,0.728,35,1.0,0.938,34,1.0
215.818,0.199,31,7,1883,25,0.874,6,1.0,0.748,6,1.0,0.94,26,1.0
199.196,0.151,23,9,1099,86,0.874,6,1.0,0.748,6,1.0,0.94,17,1.0
136.712,0.166,28,4,1920,74,0.866,23,1.0,0.732,29,1.0,0.939,33,1.0
90.172,0.124,5,4,1349,181,0.868,21,1.0,0.736,22,1.0,0.936,44,1.0
82.955,0.071,29,9,572,25,0.872,11,1.0,0.744,14,1.0,0.933,49,1.0
210.997,0.176,24,7,1476,213,0.87,17,1.0,0.74,20,1.0,0.942,10,1.0
98.217,0.127,19,4,1350,115,0.866,23,1.0,0.732,25,1.0,0.939,32,1.0
124.424,0.138,28,5,1255,45,0.862,36,1.0,0.724,37,1.0,0.938,36,1.0
204.85,0.18,23,7,1410,183,0.87,17,1.0,0.74,17,1.0,0.944,2,1.0
145.904,0.191,4,5,1789,201,0.862,36,1.0,0.724,37,1.0,0.937,40,1.0
72.619,0.094,4,6,744,167,0.882,1,1.0,0.764,1,1.0,0.937,37,1.0
137.604,0.183,7,7,1382,199,0.872,11,1.0,0.744,13,1.0,0.94,24,1.0
41.373,0.057,6,4,628,180,0.85,49,1.0,0.7,49,1.0,0.937,43,1.0
182.562,0.159,25,9,1256,33,0.86,39,1.0,0.72,39,1.0,0.935,46,1.0
239.601,0.181,19,8,1566,202,0.87,17,1.0,0.74,19,1.0,0.944,5,1.0
172.516,0.188,28,5,1845,247,0.872,11,1.0,0.744,16,1.0,0.937,39,1.0
94.18,0.082,13,5,791,118,0.86,39,1.0,0.72,39,1.0,0.94,27,1.0
153.417,0.129,27,7,930,98,0.87,17,1.0,0.74,18,1.0,0.942,9,1.0
67.88,0.08,31,4,898,115,0.856,47,1.0,0.713,47,1.0,0.932,50,1.0
196.996,0.154,25,8,1133,186,0.872,11,1.0,0.744,14,1.0,0.94,22,1.0
99.758,0.095,24,7,824,22,0.864,30,1.0,0.728,34,1.0,0.94,20,1.0
168.31,0.208,8,8,1655,220,0.866,23,1.0,0.732,25,1.0,0.934,48,1.0
169.048,0.217,8,8,1667,164,0.866,23,1.0,0.732,25,1.0,0.934,47,1.0
116.961,0.154,7,6,1291,223,0.874,6,1.0,0.748,8,1.0,0.944,3,1.0
184.323,0.137,17,9,1060,65,0.868,21,1.0,0.736,21,1.0,0.944,4,1.0
150.851,0.184,9,5,1972,111,0.876,4,1.0,0.752,5,1.0,0.938,35,1.0
116.288,0.164,9,4,1816,178,0.858,44,1.0,0.716,44,1.0,0.941,14,1.0
173.705,0.123,20,9,887,114,0.874,6,1.0,0.748,9,1.0,0.942,11,1.0
104.737,0.132,14,9,868,247,0.86,39,1.0,0.72,39,1.0,0.943,8,1.0
80.114,0.094,25,5,883,16,0.864,30,1.0,0.729,30,1.0,0.939,31,1.0
97.143,0.127,14,6,1055,202,0.878,2,1.0,0.756,3,1.0,0.94,23,1.0
113.18,0.088,27,7,630,137,0.86,39,1.0,0.72,42,1.0,0.94,17,1.0
121.366,0.148,6,7,1234,139,0.858,44,1.0,0.716,44,1.0,0.937,38,1.0
110.463,0.141,7,6,1239,164,0.866,23,1.0,0.732,25,1.0,0.946,1,1.0
194.567,0.186,21,6,1935,30,0.872,11,1.0,0.744,11,1.0,0.939,29,1.0
107.134,0.136,13,6,1205,52,0.872,11,1.0,0.744,11,1.0,0.94,28,1.0
122.605,0.147,14,7,1372,27,0.878,2,1.0,0.756,2,1.0,0.94,19,1.0
143.435,0.175,6,7,1604,48,0.866,23,1.0,0.732,23,1.0,0.937,41,1.0
92.915,0.114,26,4,1306,35,0.862,36,1.0,0.725,36,1.0,0.941,13,1.0
194.284,0.182,18,6,1895,200,0.864,30,1.0,0.728,31,1.0,0.942,12,1.0
81.813,0.101,12,9,786,40,0.876,4,1.0,0.752,4,1.0,0.944,5,1.0
61.963,0.082,6,7,594,242,0.864,30,1.0,0.728,31,1.0,0.94,25,1.0
91.898,0.11,15,9,796,88,0.864,30,1.0,0.728,31,1.0,0.941,15,1.0
129.279,0.152,23,4,1934,210,0.866,23,1.0,0.732,23,1.0,0.941,16,1.0
134.599,0.111,28,8,823,252,0.848,50,1.0,0.696,50,1.0,0.936,45,1.0
119.753,0.141,18,4,1784,211,0.874,6,1.0,0.748,9,1.0,0.94,21,1.0
175.301,0.154,17,7,1520,102,0.856,47,1.0,0.712,48,1.0,0.939,30,1.0
119.505,0.127,17,5,1343,200,0.858,44,1.0,0.716,46,1.0,0.943,7,1.0
97.032,0.124,20,4,1425,165,0.86,39,1.0,0.72,42,1.0,0.937,42,1.0
