mean_fit_time,mean_score_time,param_classifier__max_bin,param_classifier__max_depth,param_classifier__n_estimators,param_classifier__num_leaves,mean_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_matthews_corrcoef,rank_test_matthews_corrcoef,mean_train_matthews_corrcoef,mean_test_roc_auc,rank_test_roc_auc,mean_train_roc_auc
1795.552,0.307,16,9,1716,83,0.888,12,1.0,0.776,13,1.0,0.953,23,1.0
1333.671,0.346,31,7,1883,25,0.88,28,1.0,0.76,29,1.0,0.955,15,1.0
1238.953,0.28,23,9,1099,86,0.88,28,1.0,0.76,31,1.0,0.954,20,1.0
878.109,0.306,28,4,1920,74,0.878,36,1.0,0.756,36,1.0,0.952,33,1.0
824.911,0.251,5,4,1349,181,0.876,41,1.0,0.752,42,1.0,0.953,25,1.0
596.159,0.184,29,9,572,25,0.89,7,1.0,0.78,9,1.0,0.952,31,1.0
1266.646,0.324,24,7,1476,213,0.88,28,1.0,0.76,31,1.0,0.953,26,1.0
643.355,0.265,19,4,1350,115,0.874,46,1.0,0.748,47,1.0,0.95,44,1.0
814.266,0.27,28,5,1255,45,0.876,41,1.0,0.753,41,1.0,0.953,27,1.0
1234.792,0.31,23,7,1410,183,0.884,18,1.0,0.768,22,1.0,0.952,35,1.0
1094.979,0.313,4,5,1789,201,0.874,46,1.0,0.748,46,1.0,0.952,30,1.0
812.841,0.228,4,6,744,167,0.884,18,1.0,0.768,22,1.0,0.949,46,1.0
1401.706,0.304,7,7,1382,199,0.884,18,1.0,0.768,18,1.0,0.956,6,1.0
419.068,0.178,6,4,628,180,0.87,49,1.0,0.74,49,1.0,0.945,49,1.0
1149.186,0.291,25,9,1256,33,0.89,7,1.0,0.78,11,1.0,0.958,1,1.0
1417.905,0.34,19,8,1566,202,0.884,18,1.0,0.768,18,1.0,0.956,7,1.0
1095.087,0.348,28,5,1845,247,0.882,25,1.0,0.764,26,1.0,0.95,43,1.0
673.317,0.206,13,5,791,118,0.88,28,1.0,0.76,30,1.0,0.952,34,1.0
983.208,0.251,27,7,930,98,0.886,16,1.0,0.772,16,1.0,0.954,16,1.0
482.162,0.208,31,4,898,115,0.892,3,1.0,0.785,3,1.0,0.948,48,1.0
1200.943,0.296,25,8,1133,186,0.872,48,1.0,0.744,48,1.0,0.958,2,1.0
637.703,0.22,24,7,824,22,0.506,50,0.505,0.016,50,0.014,0.504,50,0.506
1703.993,0.331,8,8,1655,220,0.878,36,1.0,0.756,39,1.0,0.949,47,1.0
1704.561,0.326,8,8,1667,164,0.876,41,1.0,0.752,44,1.0,0.95,45,1.0
1161.457,0.293,7,6,1291,223,0.884,18,1.0,0.768,20,1.0,0.953,24,1.0
1129.808,0.292,17,9,1060,65,0.888,12,1.0,0.776,13,1.0,0.955,12,1.0
1343.624,0.303,9,5,1972,111,0.892,3,1.0,0.784,4,1.0,0.956,9,1.0
1016.459,0.287,9,4,1816,178,0.88,28,1.0,0.762,28,1.0,0.955,11,1.0
1076.712,0.269,20,9,887,114,0.88,28,1.0,0.76,34,1.0,0.952,29,1.0
1191.248,0.243,14,9,868,247,0.892,3,1.0,0.784,5,1.0,0.953,22,1.0
545.944,0.231,25,5,883,16,0.878,36,1.0,0.756,36,1.0,0.952,38,1.0
982.108,0.229,14,6,1055,202,0.878,36,1.0,0.756,36,1.0,0.954,21,1.0
732.722,0.256,27,7,630,137,0.886,16,1.0,0.772,17,1.0,0.952,32,1.0
1249.931,0.259,6,7,1234,139,0.894,2,1.0,0.788,2,1.0,0.954,18,1.0
1083.551,0.245,7,6,1239,164,0.884,18,1.0,0.768,22,1.0,0.953,28,1.0
1194.281,0.326,21,6,1935,30,0.882,25,1.0,0.764,27,1.0,0.955,12,1.0
1062.938,0.247,13,6,1205,52,0.882,25,1.0,0.764,25,1.0,0.955,14,1.0
1192.93,0.253,14,7,1372,27,0.89,7,1.0,0.78,9,1.0,0.952,36,1.0
1402.419,0.275,6,7,1604,48,0.876,41,1.0,0.752,45,1.0,0.954,17,1.0
598.521,0.229,26,4,1306,35,0.888,12,1.0,0.776,12,1.0,0.955,10,1.0
1188.325,0.315,18,6,1895,200,0.88,28,1.0,0.76,31,1.0,0.951,40,1.0
908.905,0.206,12,9,786,40,0.884,18,1.0,0.768,20,1.0,0.957,4,1.0
723.203,0.194,6,7,594,242,0.896,1,1.0,0.792,1,1.0,0.958,3,1.0
1055.468,0.208,15,9,796,88,0.888,12,1.0,0.776,15,1.0,0.956,5,1.0
806.932,0.299,23,4,1934,210,0.89,7,1.0,0.78,7,1.0,0.951,41,1.0
934.071,0.232,28,8,823,252,0.892,3,1.0,0.784,6,1.0,0.956,8,1.0
737.406,0.293,18,4,1784,211,0.88,28,1.0,0.76,34,1.0,0.952,37,1.0
1107.787,0.278,17,7,1520,102,0.876,41,1.0,0.752,42,1.0,0.95,42,1.0
749.037,0.256,17,5,1343,200,0.878,36,1.0,0.756,39,1.0,0.951,39,1.0
609.795,0.235,20,4,1425,165,0.89,7,1.0,0.78,7,1.0,0.954,19,1.0
