mean_fit_time,mean_score_time,param_classifier__max_bin,param_classifier__max_depth,param_classifier__n_estimators,param_classifier__num_leaves,mean_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_matthews_corrcoef,rank_test_matthews_corrcoef,mean_train_matthews_corrcoef,mean_test_roc_auc,rank_test_roc_auc,mean_train_roc_auc
44.647,0.258,16,9,1716,83,0.698,17,1.0,0.397,18,1.0,0.773,7,1.0
24.462,0.182,31,7,1883,25,0.694,24,1.0,0.388,27,1.0,0.772,9,1.0
25.381,0.164,23,9,1099,86,0.7,13,1.0,0.4,15,1.0,0.766,21,1.0
21.246,0.138,28,4,1920,74,0.674,43,1.0,0.348,44,1.0,0.759,25,1.0
16.141,0.102,5,4,1349,181,0.654,50,1.0,0.309,50,1.0,0.708,50,1.0
4.614,0.042,29,9,572,25,0.7,13,1.0,0.401,14,1.0,0.752,35,1.0
29.952,0.192,24,7,1476,213,0.69,29,1.0,0.38,29,1.0,0.754,32,1.0
14.228,0.093,19,4,1350,115,0.698,17,1.0,0.397,18,1.0,0.754,33,1.0
16.228,0.11,28,5,1255,45,0.68,40,1.0,0.362,40,1.0,0.753,34,1.0
27.893,0.177,23,7,1410,183,0.692,28,1.0,0.385,28,1.0,0.751,36,1.0
29.422,0.154,4,5,1789,201,0.672,46,1.0,0.344,46,1.0,0.716,49,1.0
11.395,0.078,4,6,744,167,0.662,48,1.0,0.324,48,1.0,0.717,48,1.0
30.61,0.19,7,7,1382,199,0.674,43,1.0,0.348,45,1.0,0.74,43,1.0
5.397,0.036,6,4,628,180,0.684,35,0.996,0.369,37,0.992,0.738,45,1.0
17.067,0.14,25,9,1256,33,0.708,5,1.0,0.417,5,1.0,0.772,8,1.0
37.422,0.22,19,8,1566,202,0.688,30,1.0,0.378,30,1.0,0.758,27,1.0
26.099,0.158,28,5,1845,247,0.702,11,1.0,0.405,12,1.0,0.764,22,1.0
9.267,0.065,13,5,791,118,0.7,13,1.0,0.403,13,1.0,0.767,17,1.0
16.866,0.12,27,7,930,98,0.718,3,1.0,0.437,3,1.0,0.782,4,1.0
8.195,0.057,31,4,898,115,0.698,17,1.0,0.396,20,1.0,0.757,28,1.0
25.347,0.161,25,8,1133,186,0.698,17,1.0,0.397,17,1.0,0.766,20,1.0
7.694,0.067,24,7,824,22,0.694,24,1.0,0.39,24,1.0,0.768,14,1.0
44.392,0.244,8,8,1655,220,0.698,17,1.0,0.396,22,1.0,0.766,19,1.0
44.226,0.248,8,8,1667,164,0.7,13,1.0,0.4,16,1.0,0.766,18,1.0
23.171,0.137,7,6,1291,223,0.678,41,1.0,0.356,41,1.0,0.74,44,1.0
22.43,0.155,17,9,1060,65,0.698,17,1.0,0.396,20,1.0,0.762,24,1.0
30.646,0.177,9,5,1972,111,0.704,9,1.0,0.408,9,1.0,0.767,15,1.0
21.99,0.132,9,4,1816,178,0.656,49,1.0,0.312,49,1.0,0.736,46,1.0
20.005,0.149,20,9,887,114,0.684,35,1.0,0.368,38,1.0,0.769,10,1.0
20.855,0.151,14,9,868,247,0.702,11,1.0,0.405,11,1.0,0.783,2,1.0
7.766,0.06,25,5,883,16,0.688,30,1.0,0.376,31,1.0,0.757,29,1.0
17.075,0.113,14,6,1055,202,0.684,35,1.0,0.37,35,1.0,0.764,23,1.0
9.44,0.076,27,7,630,137,0.724,2,1.0,0.45,2,1.0,0.78,5,1.0
27.151,0.166,6,7,1234,139,0.688,30,1.0,0.376,32,1.0,0.742,40,1.0
20.917,0.131,7,6,1239,164,0.686,33,1.0,0.372,34,1.0,0.743,39,1.0
29.528,0.184,21,6,1935,30,0.706,7,1.0,0.412,8,1.0,0.768,12,1.0
20.438,0.122,13,6,1205,52,0.712,4,1.0,0.426,4,1.0,0.778,6,1.0
17.454,0.128,14,7,1372,27,0.686,33,1.0,0.373,33,1.0,0.768,13,1.0
30.119,0.18,6,7,1604,48,0.67,47,1.0,0.34,47,1.0,0.726,47,1.0
13.482,0.092,26,4,1306,35,0.708,5,1.0,0.416,6,1.0,0.757,30,1.0
32.884,0.185,18,6,1895,200,0.694,24,1.0,0.39,25,1.0,0.767,16,1.0
10.062,0.081,12,9,786,40,0.694,24,1.0,0.389,26,1.0,0.756,31,1.0
9.738,0.073,6,7,594,242,0.704,9,1.0,0.408,9,1.0,0.742,41,1.0
17.361,0.124,15,9,796,88,0.706,7,1.0,0.413,7,1.0,0.758,26,1.0
21.625,0.135,23,4,1934,210,0.674,43,1.0,0.349,43,1.0,0.75,37,1.0
16.413,0.121,28,8,823,252,0.726,1,1.0,0.454,1,1.0,0.787,1,1.0
19.531,0.131,18,4,1784,211,0.682,39,1.0,0.365,39,1.0,0.749,38,1.0
31.794,0.186,17,7,1520,102,0.676,42,1.0,0.352,42,1.0,0.768,11,1.0
17.853,0.114,17,5,1343,200,0.696,23,1.0,0.392,23,1.0,0.782,3,1.0
14.951,0.104,20,4,1425,165,0.684,35,1.0,0.369,36,1.0,0.741,42,1.0
