mean_fit_time,mean_score_time,param_classifier__max_bin,param_classifier__max_depth,param_classifier__n_estimators,param_classifier__num_leaves,mean_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_matthews_corrcoef,rank_test_matthews_corrcoef,mean_train_matthews_corrcoef,mean_test_roc_auc,rank_test_roc_auc,mean_train_roc_auc
5411.63,0.704,16,9,1716,83,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0
4760.323,0.694,31,7,1883,25,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0
3445.681,0.675,23,9,1099,86,0.998,41,1.0,0.996,41,1.0,1.0,1,1.0
3135.254,0.566,28,4,1920,74,0.626,44,0.621,0.289,44,0.282,0.626,44,0.621
2949.216,0.585,5,4,1349,181,0.5,45,0.5,0.0,45,0.0,0.5,45,0.5
2485.355,0.618,29,9,572,25,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0
4015.374,0.672,24,7,1476,213,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0
2447.512,0.59,19,4,1350,115,0.5,45,0.5,0.0,45,0.0,0.5,45,0.5
3623.612,0.653,28,5,1255,45,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0
3902.609,0.681,23,7,1410,183,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0
3560.065,0.546,4,5,1789,201,0.46,49,0.452,-0.151,49,-0.175,0.46,49,0.452
2940.024,0.624,4,6,744,167,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0
4430.726,0.683,7,7,1382,199,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0
1843.407,0.562,6,4,628,180,0.5,45,0.497,0.0,45,-0.029,0.5,45,0.497
3733.914,0.669,25,9,1256,33,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0
4140.79,0.664,19,8,1566,202,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0
4590.695,0.689,28,5,1845,247,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0
3199.737,0.617,13,5,791,118,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0
3183.773,0.624,27,7,930,98,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0
2018.133,0.571,31,4,898,115,0.75,43,0.747,0.501,43,0.499,0.75,43,0.747
3578.843,0.68,25,8,1133,186,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0
2927.214,0.628,24,7,824,22,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0
4970.501,0.684,8,8,1655,220,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0
4984.523,0.673,8,8,1667,164,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0
4057.913,0.713,7,6,1291,223,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0
3222.731,0.733,17,9,1060,65,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0
5340.544,0.669,9,5,1972,111,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0
4986.491,0.656,9,4,1816,178,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0
2933.818,0.689,20,9,887,114,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0
3402.682,0.651,14,9,868,247,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0
2837.43,0.723,25,5,883,16,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0
3647.0,0.675,14,6,1055,202,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0
2464.514,0.654,27,7,630,137,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0
3871.393,0.647,6,7,1234,139,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0
3890.615,0.66,7,6,1239,164,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0
4398.123,0.633,21,6,1935,30,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0
3926.709,0.601,13,6,1205,52,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0
4279.457,0.644,14,7,1372,27,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0
4541.431,0.641,6,7,1604,48,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0
2315.098,0.597,26,4,1306,35,0.334,50,0.354,-0.427,50,-0.379,0.334,50,0.354
4297.676,0.644,18,6,1895,200,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0
3036.592,0.581,12,9,786,40,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0
2459.539,0.606,6,7,594,242,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0
3136.978,0.575,15,9,796,88,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0
4165.731,0.606,23,4,1934,210,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0
2775.923,0.619,28,8,823,252,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0
2645.275,0.509,18,4,1784,211,0.5,45,0.5,0.0,45,0.0,0.5,45,0.5
3625.661,0.549,17,7,1520,102,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0
3286.665,0.609,17,5,1343,200,1.0,1,1.0,1.0,1,1.0,1.0,1,1.0
3282.403,0.542,20,4,1425,165,0.998,41,1.0,0.996,41,1.0,1.0,1,1.0
