mean_fit_time,mean_score_time,param_classifier__max_bin,param_classifier__max_depth,param_classifier__n_estimators,param_classifier__num_leaves,mean_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_matthews_corrcoef,rank_test_matthews_corrcoef,mean_train_matthews_corrcoef,mean_test_roc_auc,rank_test_roc_auc,mean_train_roc_auc
2705.712,0.332,16,9,1716,83,0.802,14,1.0,0.604,16,1.0,0.875,33,1.0
2007.376,0.329,31,7,1883,25,0.788,40,1.0,0.576,40,1.0,0.882,16,1.0
1985.806,0.3,23,9,1099,86,0.802,14,1.0,0.604,15,1.0,0.884,9,1.0
1275.904,0.306,28,4,1920,74,0.812,3,1.0,0.624,3,1.0,0.884,10,1.0
1288.775,0.267,5,4,1349,181,0.8,17,1.0,0.6,20,1.0,0.875,35,1.0
883.36,0.227,29,9,572,25,0.802,14,1.0,0.604,14,1.0,0.886,3,1.0
1906.086,0.314,24,7,1476,213,0.812,3,1.0,0.624,4,1.0,0.885,6,1.0
981.825,0.272,19,4,1350,115,0.808,5,1.0,0.617,5,1.0,0.876,31,1.0
1241.036,0.275,28,5,1255,45,0.798,24,1.0,0.596,24,1.0,0.879,22,1.0
1934.297,0.314,23,7,1410,183,0.784,47,1.0,0.568,48,1.0,0.87,46,1.0
1983.347,0.313,4,5,1789,201,0.796,26,1.0,0.592,26,1.0,0.87,47,1.0
1287.683,0.241,4,6,744,167,0.8,17,1.0,0.6,19,1.0,0.875,34,1.0
2198.896,0.314,7,7,1382,199,0.796,26,1.0,0.592,26,1.0,0.873,37,1.0
649.411,0.215,6,4,628,180,0.794,28,1.0,0.589,28,1.0,0.86,50,1.0
1788.389,0.292,25,9,1256,33,0.79,38,1.0,0.581,38,1.0,0.877,27,1.0
2239.89,0.318,19,8,1566,202,0.792,31,1.0,0.584,36,1.0,0.886,5,1.0
1635.286,0.321,28,5,1845,247,0.792,31,1.0,0.584,33,1.0,0.877,26,1.0
1948.369,0.471,13,5,791,118,0.808,5,1.0,0.616,7,1.0,0.886,4,1.0
2341.868,0.259,27,7,930,98,0.792,31,1.0,0.584,33,1.0,0.879,23,1.0
730.727,0.237,31,4,898,115,0.794,28,1.0,0.588,30,1.0,0.882,15,1.0
1909.177,0.286,25,8,1133,186,0.8,17,1.0,0.6,20,1.0,0.884,8,1.0
1067.306,0.248,24,7,824,22,0.806,9,1.0,0.612,9,1.0,0.881,17,1.0
2658.349,0.321,8,8,1655,220,0.79,38,1.0,0.58,39,1.0,0.882,14,1.0
2657.184,0.342,8,8,1667,164,0.792,31,1.0,0.584,33,1.0,0.883,12,1.0
1839.936,0.315,7,6,1291,223,0.808,5,1.0,0.616,7,1.0,0.882,13,1.0
1847.843,0.31,17,9,1060,65,0.788,40,1.0,0.576,41,1.0,0.879,21,1.0
2045.58,0.344,9,5,1972,111,0.784,47,1.0,0.569,47,1.0,0.872,42,1.0
1570.919,0.33,9,4,1816,178,0.804,12,1.0,0.608,12,1.0,0.877,29,1.0
1787.639,0.296,20,9,887,114,0.808,5,1.0,0.616,6,1.0,0.881,18,1.0
1941.818,0.294,14,9,868,247,0.798,24,1.0,0.596,24,1.0,0.876,30,1.0
788.339,0.259,25,5,883,16,0.792,31,1.0,0.584,37,1.0,0.862,49,1.0
1544.878,0.287,14,6,1055,202,0.794,28,1.0,0.589,29,1.0,0.871,44,1.0
1159.132,0.256,27,7,630,137,0.804,12,1.0,0.608,13,1.0,0.88,20,1.0
2018.043,0.317,6,7,1234,139,0.788,40,1.0,0.576,42,1.0,0.872,43,1.0
1738.714,0.303,7,6,1239,164,0.8,17,1.0,0.6,23,1.0,0.885,7,1.0
1844.484,0.343,21,6,1935,30,0.786,43,1.0,0.572,46,1.0,0.872,39,1.0
1721.688,0.315,13,6,1205,52,0.82,1,1.0,0.64,1,1.0,0.892,1,1.0
1920.496,0.324,14,7,1372,27,0.786,43,1.0,0.572,44,1.0,0.874,36,1.0
2286.163,0.336,6,7,1604,48,0.786,43,1.0,0.573,43,1.0,0.87,45,1.0
894.838,0.278,26,4,1306,35,0.806,9,1.0,0.612,9,1.0,0.887,2,1.0
1943.547,0.351,18,6,1895,200,0.8,17,1.0,0.6,17,1.0,0.872,40,1.0
1464.871,0.267,12,9,786,40,0.774,50,1.0,0.548,50,1.0,0.873,38,1.0
1199.818,0.257,6,7,594,242,0.8,17,1.0,0.6,20,1.0,0.878,25,1.0
1758.292,0.266,15,9,796,88,0.8,17,1.0,0.6,17,1.0,0.884,11,1.0
1278.114,0.331,23,4,1934,210,0.778,49,1.0,0.557,49,1.0,0.878,24,1.0
1471.996,0.265,28,8,823,252,0.792,31,1.0,0.584,32,1.0,0.876,32,1.0
1183.031,0.32,18,4,1784,211,0.792,31,1.0,0.585,31,1.0,0.869,48,1.0
1877.13,0.312,17,7,1520,102,0.806,9,1.0,0.612,9,1.0,0.877,28,1.0
1249.035,0.3,17,5,1343,200,0.818,2,1.0,0.636,2,1.0,0.88,19,1.0
986.095,0.292,20,4,1425,165,0.786,43,1.0,0.572,45,1.0,0.872,41,1.0
