mean_fit_time,mean_score_time,param_classifier__max_bin,param_classifier__max_depth,param_classifier__n_estimators,param_classifier__num_leaves,mean_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_matthews_corrcoef,rank_test_matthews_corrcoef,mean_train_matthews_corrcoef,mean_test_roc_auc,rank_test_roc_auc,mean_train_roc_auc
3033.094,0.446,16,9,1716,83,0.886,24,1.0,0.773,24,1.0,0.956,7,1.0
2359.716,0.473,31,7,1883,25,0.886,24,1.0,0.772,31,1.0,0.953,27,1.0
2135.062,0.417,23,9,1099,86,0.882,39,1.0,0.764,42,1.0,0.955,12,1.0
1543.926,0.438,28,4,1920,74,0.884,33,1.0,0.768,37,1.0,0.949,45,1.0
1378.766,0.377,5,4,1349,181,0.892,8,1.0,0.784,9,1.0,0.947,50,1.0
1056.133,0.331,29,9,572,25,0.886,24,1.0,0.772,31,1.0,0.954,17,1.0
2217.199,0.445,24,7,1476,213,0.882,39,1.0,0.764,39,1.0,0.954,21,1.0
1136.2,0.394,19,4,1350,115,0.882,39,1.0,0.764,39,1.0,0.949,44,1.0
1418.051,0.379,28,5,1255,45,0.88,44,1.0,0.76,45,1.0,0.953,29,1.0
2132.815,0.433,23,7,1410,183,0.894,4,1.0,0.788,6,1.0,0.95,42,1.0
2184.569,0.398,4,5,1789,201,0.886,24,1.0,0.772,25,1.0,0.951,39,1.0
1337.222,0.341,4,6,744,167,0.884,33,1.0,0.768,33,1.0,0.948,48,1.0
2319.649,0.402,7,7,1382,199,0.878,46,1.0,0.756,46,1.0,0.954,23,1.0
723.756,0.309,6,4,628,180,0.892,8,1.0,0.784,10,1.0,0.947,49,1.0
2023.029,0.412,25,9,1256,33,0.888,13,1.0,0.776,13,1.0,0.954,26,1.0
2445.552,0.464,19,8,1566,202,0.884,33,1.0,0.768,35,1.0,0.952,34,1.0
1887.92,0.447,28,5,1845,247,0.89,12,1.0,0.78,12,1.0,0.953,28,1.0
1120.034,0.334,13,5,791,118,0.888,13,1.0,0.776,19,1.0,0.952,32,1.0
1688.474,0.386,27,7,930,98,0.888,13,1.0,0.776,14,1.0,0.955,10,1.0
869.962,0.313,31,4,898,115,0.888,13,1.0,0.776,19,1.0,0.952,36,1.0
2083.647,0.417,25,8,1133,186,0.884,33,1.0,0.768,33,1.0,0.954,25,1.0
1225.423,0.328,24,7,824,22,0.888,13,1.0,0.776,21,1.0,0.953,31,1.0
2796.367,0.44,8,8,1655,220,0.888,13,1.0,0.776,14,1.0,0.948,46,1.0
2810.691,0.439,8,8,1667,164,0.886,24,1.0,0.772,25,1.0,0.948,47,1.0
1948.976,0.435,7,6,1291,223,0.894,4,1.0,0.788,5,1.0,0.953,30,1.0
1974.546,0.407,17,9,1060,65,0.9,2,1.0,0.8,3,1.0,0.957,6,1.0
2269.01,0.449,9,5,1972,111,0.886,24,1.0,0.772,25,1.0,0.956,8,1.0
1712.613,0.45,9,4,1816,178,0.884,33,1.0,0.768,35,1.0,0.951,41,1.0
1895.838,0.42,20,9,887,114,0.886,24,1.0,0.772,28,1.0,0.954,20,1.0
1999.135,0.371,14,9,868,247,0.892,8,1.0,0.784,8,1.0,0.958,2,1.0
968.203,0.368,25,5,883,16,0.878,46,1.0,0.756,46,1.0,0.95,43,1.0
1675.286,0.37,14,6,1055,202,0.882,39,1.0,0.764,42,1.0,0.957,4,1.0
1280.943,0.344,27,7,630,137,0.9,2,1.0,0.8,2,1.0,0.954,19,1.0
2069.646,0.393,6,7,1234,139,0.902,1,1.0,0.804,1,1.0,0.956,9,1.0
1839.908,0.378,7,6,1239,164,0.894,4,1.0,0.788,4,1.0,0.954,24,1.0
2130.794,0.46,21,6,1935,30,0.87,50,1.0,0.74,50,1.0,0.951,40,1.0
1810.31,0.365,13,6,1205,52,0.888,13,1.0,0.776,21,1.0,0.955,13,1.0
2049.501,0.367,14,7,1372,27,0.888,13,1.0,0.776,14,1.0,0.954,18,1.0
2379.163,0.373,6,7,1604,48,0.876,48,1.0,0.752,48,1.0,0.954,16,1.0
1079.95,0.371,26,4,1306,35,0.894,4,1.0,0.788,6,1.0,0.96,1,1.0
2122.817,0.455,18,6,1895,200,0.888,13,1.0,0.776,14,1.0,0.955,10,1.0
1576.518,0.34,12,9,786,40,0.888,13,1.0,0.776,23,1.0,0.955,15,1.0
1209.165,0.308,6,7,594,242,0.892,8,1.0,0.784,10,1.0,0.957,5,1.0
1838.947,0.336,15,9,796,88,0.876,48,1.0,0.752,49,1.0,0.954,22,1.0
1455.165,0.42,23,4,1934,210,0.884,33,1.0,0.768,37,1.0,0.952,35,1.0
1668.396,0.358,28,8,823,252,0.882,39,1.0,0.764,39,1.0,0.951,37,1.0
1346.255,0.438,18,4,1784,211,0.888,13,1.0,0.776,14,1.0,0.957,3,1.0
2002.092,0.385,17,7,1520,102,0.88,44,1.0,0.76,44,1.0,0.951,38,1.0
1352.691,0.367,17,5,1343,200,0.886,24,1.0,0.772,28,1.0,0.952,33,1.0
1111.668,0.374,20,4,1425,165,0.886,24,1.0,0.772,28,1.0,0.955,14,1.0
