mean_fit_time,mean_score_time,param_classifier__max_bin,param_classifier__max_depth,param_classifier__n_estimators,param_classifier__num_leaves,mean_test_accuracy,rank_test_accuracy,mean_train_accuracy,mean_test_matthews_corrcoef,rank_test_matthews_corrcoef,mean_train_matthews_corrcoef,mean_test_roc_auc,rank_test_roc_auc,mean_train_roc_auc
4002.349,0.295,16,9,1716,83,0.986,20,1.0,0.972,21,1.0,0.999,22,1.0
3076.386,0.302,31,7,1883,25,0.986,20,1.0,0.972,21,1.0,0.999,9,1.0
2739.87,0.271,23,9,1099,86,0.984,33,1.0,0.968,37,1.0,0.999,31,1.0
2546.138,0.292,28,4,1920,74,0.992,1,1.0,0.984,1,1.0,0.999,5,1.0
2562.147,0.264,5,4,1349,181,0.984,33,1.0,0.968,37,1.0,0.999,23,1.0
1527.39,0.221,29,9,572,25,0.988,8,1.0,0.976,8,1.0,0.999,8,1.0
2920.138,0.281,24,7,1476,213,0.986,20,1.0,0.972,21,1.0,0.999,28,1.0
1885.808,0.258,19,4,1350,115,0.988,8,1.0,0.976,13,1.0,0.999,19,1.0
2173.521,0.266,28,5,1255,45,0.988,8,1.0,0.976,13,1.0,0.999,20,1.0
2753.772,0.286,23,7,1410,183,0.986,20,1.0,0.972,21,1.0,0.999,16,1.0
3471.18,0.299,4,5,1789,201,0.986,20,1.0,0.972,21,1.0,0.999,46,1.0
2078.467,0.243,4,6,744,167,0.984,33,1.0,0.968,37,1.0,0.998,49,1.0
3348.709,0.292,7,7,1382,199,0.986,20,1.0,0.972,21,1.0,0.999,38,1.0
1347.399,0.199,6,4,628,180,0.986,20,1.0,0.972,20,1.0,0.999,45,1.0
2605.459,0.273,25,9,1256,33,0.984,33,1.0,0.968,33,1.0,0.999,24,1.0
3206.978,0.291,19,8,1566,202,0.984,33,1.0,0.968,37,1.0,0.999,42,1.0
2779.504,0.298,28,5,1845,247,0.988,8,1.0,0.976,13,1.0,0.999,11,1.0
1894.429,0.233,13,5,791,118,0.982,47,1.0,0.964,47,1.0,0.999,47,1.0
2203.916,0.256,27,7,930,98,0.984,33,1.0,0.968,33,1.0,0.999,18,1.0
1392.34,0.237,31,4,898,115,0.984,33,1.0,0.968,33,1.0,0.999,28,1.0
2624.306,0.267,25,8,1133,186,0.982,47,1.0,0.964,47,1.0,0.999,36,1.0
1849.012,0.267,24,7,824,22,0.986,20,1.0,0.972,21,1.0,0.999,27,1.0
3773.458,0.32,8,8,1655,220,0.988,8,1.0,0.976,13,1.0,0.999,24,1.0
3801.058,0.305,8,8,1667,164,0.99,2,1.0,0.98,2,1.0,0.999,12,1.0
2903.467,0.296,7,6,1291,223,0.984,33,1.0,0.968,37,1.0,0.999,41,1.0
2430.237,0.291,17,9,1060,65,0.988,8,1.0,0.976,13,1.0,0.999,34,1.0
3631.458,0.322,9,5,1972,111,0.984,33,1.0,0.968,37,1.0,0.999,10,1.0
3078.592,0.318,9,4,1816,178,0.986,20,1.0,0.972,21,1.0,1.0,1,1.0
2318.505,0.273,20,9,887,114,0.986,20,1.0,0.972,21,1.0,0.999,39,1.0
2657.603,0.274,14,9,868,247,0.988,8,1.0,0.976,8,1.0,0.999,31,1.0
1541.569,0.266,25,5,883,16,0.988,8,1.0,0.976,8,1.0,0.999,44,1.0
2475.67,0.28,14,6,1055,202,0.986,20,1.0,0.972,21,1.0,0.999,39,1.0
1683.464,0.253,27,7,630,137,0.98,49,1.0,0.96,49,1.0,0.998,48,1.0
2970.329,0.293,6,7,1234,139,0.988,8,1.0,0.976,8,1.0,0.999,30,1.0
2798.3,0.29,7,6,1239,164,0.984,33,1.0,0.968,37,1.0,0.999,43,1.0
3009.744,0.32,21,6,1935,30,0.988,8,1.0,0.976,13,1.0,0.999,5,1.0
2666.152,0.288,13,6,1205,52,0.99,2,1.0,0.98,2,1.0,0.999,15,1.0
3045.961,0.306,14,7,1372,27,0.988,8,1.0,0.976,8,1.0,0.999,14,1.0
3389.825,0.32,6,7,1604,48,0.99,2,1.0,0.98,2,1.0,0.999,12,1.0
1824.179,0.283,26,4,1306,35,0.988,8,1.0,0.976,13,1.0,0.999,33,1.0
2979.849,0.282,18,6,1895,200,0.984,33,1.0,0.968,33,1.0,1.0,2,1.0
2164.774,0.258,12,9,786,40,0.984,33,1.0,0.968,37,1.0,0.999,20,1.0
1831.456,0.251,6,7,594,242,0.974,50,1.0,0.948,50,1.0,0.998,50,1.0
2432.979,0.269,15,9,796,88,0.984,33,1.0,0.968,37,1.0,0.999,35,1.0
2433.072,0.301,23,4,1934,210,0.99,2,1.0,0.98,2,1.0,1.0,3,1.0
2192.264,0.238,28,8,823,252,0.984,33,1.0,0.968,37,1.0,0.999,37,1.0
2275.353,0.333,18,4,1784,211,0.99,2,1.0,0.98,2,1.0,0.999,4,1.0
2753.302,0.265,17,7,1520,102,0.986,20,1.0,0.972,21,1.0,0.999,26,1.0
2120.378,0.261,17,5,1343,200,0.986,20,1.0,0.972,21,1.0,0.999,5,1.0
1889.446,0.274,20,4,1425,165,0.99,2,1.0,0.98,2,1.0,0.999,16,1.0
